Code	LifeExpectancy
ABW	78.4
AFG	45.9
AGO	38.3
AIA	76.1
ALB	71.6
AND	83.5
ANT	74.7
ARE	74.1
ARG	75.1
ARM	66.4
ASM	75.1
ATA	0
ATF	0
ATG	70.5
AUS	79.8
AUT	77.7
AZE	62.9
BDI	46.2
BEL	77.8
BEN	50.2
BFA	46.7
BGD	60.2
BGR	70.9
BHR	73
BHS	71.1
BIH	71.5
BLR	68
BLZ	70.9
BMU	76.9
BOL	63.7
BRA	62.9
BRB	73
BRN	73.6
BTN	52.4
BVT	0
BWA	39.3
CAF	44
CAN	79.4
CCK	0
CHE	79.6
CHL	75.7
CHN	71.4
CIV	45.2
CMR	54.8
COD	48.8
COG	47.4
COK	71.1
COL	70.3
COM	60
CPV	68.9
CRI	75.8
CUB	76.2
CXR	0
CYM	78.9
CYP	76.7
CZE	74.5
DEU	77.4
DJI	50.8
DMA	73.4
DNK	76.5
DOM	73.2
DZA	69.7
ECU	71.1
EGY	63.3
ERI	55.8
ESH	49.8
ESP	78.8
EST	69.5
ETH	45.2
FIN	77.4
FJI	67.9
FLK	0
FRA	78.8
FRO	78.4
FSM	68.6
GAB	50.1
GBR	77.7
GEO	64.5
GHA	57.4
GIB	79
GIN	45.6
GLP	77
GMB	53.2
GNB	49
GNQ	53.6
GRC	78.4
GRD	64.5
GRL	68.1
GTM	66.2
GUF	76.1
GUM	77.8
GUY	64
HKG	79.5
HMD	0
HND	69.9
HRV	73.7
HTI	49.2
HUN	71.4
IDN	68
IND	62.5
IOT	0
IRL	76.8
IRN	69.7
IRQ	66.5
ISL	79.4
ISR	78.6
ITA	79
JAM	75.2
JOR	77.4
JPN	80.7
KAZ	63.2
KEN	48
KGZ	63.4
KHM	56.5
KIR	59.8
KNA	70.7
KOR	74.4
KWT	76.1
LAO	53.1
LBN	71.3
LBR	51
LBY	75.5
LCA	72.3
LIE	78.8
LKA	71.8
LSO	50.8
LTU	69.1
LUX	77.1
LVA	68.4
MAC	81.6
MAR	69.1
MCO	78.8
MDA	64.5
MDG	55
MDV	62.2
MEX	71.5
MHL	65.5
MKD	73.8
MLI	46.7
MLT	77.9
MMR	54.9
MNG	67.3
MNP	75.5
MOZ	37.5
MRT	50.8
MSR	78
MTQ	78.3
MUS	71
MWI	37.6
MYS	70.8
MYT	59.5
NAM	42.5
NCL	72.8
NER	41.3
NFK	0
NGA	51.6
NIC	68.7
NIU	0
NLD	78.3
NOR	78.7
NPL	57.8
NRU	60.8
NZL	77.8
OMN	71.8
PAK	61.1
PAN	75.5
PCN	0
PER	70
PHL	67.5
PLW	68.6
PNG	63.1
POL	73.2
PRI	75.6
PRK	70.7
PRT	75.8
PRY	73.7
PSE	71.4
PYF	74.8
QAT	72.4
REU	72.7
ROM	69.9
RUS	67.2
RWA	39.3
SAU	67.8
SDN	56.6
SEN	62.2
SGP	80.1
SGS	0
SHN	76.8
SJM	0
SLB	71.3
SLE	45.3
SLV	69.7
SMR	81.1
SOM	46.2
SPM	77.6
STP	65.3
SUR	71.4
SVK	73.7
SVN	74.9
SWE	79.6
SWZ	40.4
SYC	70.4
SYR	68.5
TCA	73.3
TCD	50.5
TGO	54.7
THA	68.6
TJK	64.1
TKL	0
TKM	60.9
TMP	46
TON	67.9
TTO	68
TUN	73.7
TUR	71
TUV	66.3
TWN	76.4
TZA	52.3
UGA	42.9
UKR	66
UMI	0
URY	75.2
USA	77.1
UZB	63.7
VAT	0
VCT	72.3
VEN	73.1
VGB	75.4
VIR	78.1
VNM	69.3
VUT	60.6
WLF	0
WSM	69.2
YEM	59.8
YUG	72.4
ZAF	51.1
ZMB	37.2
ZWE	37.8
