Code	Population
ABW	103000
AFG	22720000
AGO	12878000
AIA	8000
ALB	3401200
AND	78000
ANT	217000
ARE	2441000
ARG	37032000
ARM	3520000
ASM	68000
ATA	0
ATF	0
ATG	68000
AUS	18886000
AUT	8091800
AZE	7734000
BDI	6695000
BEL	10239000
BEN	6097000
BFA	11937000
BGD	129155000
BGR	8190900
BHR	617000
BHS	307000
BIH	3972000
BLR	10236000
BLZ	241000
BMU	65000
BOL	8329000
BRA	170115000
BRB	270000
BRN	328000
BTN	2124000
BVT	0
BWA	1622000
CAF	3615000
CAN	31147000
CCK	600
CHE	7160400
CHL	15211000
CHN	1277558000
CIV	14786000
CMR	15085000
COD	51654000
COG	2943000
COK	20000
COL	42321000
COM	578000
CPV	428000
CRI	4023000
CUB	11201000
CXR	2500
CYM	38000
CYP	754700
CZE	10278100
DEU	82164700
DJI	638000
DMA	71000
DNK	5330000
DOM	8495000
DZA	31471000
ECU	12646000
EGY	68470000
ERI	3850000
ESH	293000
ESP	39441700
EST	1439200
ETH	62565000
FIN	5171300
FJI	817000
FLK	2000
FRA	59225700
FRO	43000
FSM	119000
GAB	1226000
GBR	59623400
GEO	4968000
GHA	20212000
GIB	25000
GIN	7430000
GLP	456000
GMB	1305000
GNB	1213000
GNQ	453000
GRC	10545700
GRD	94000
GRL	56000
GTM	11385000
GUF	181000
GUM	168000
GUY	861000
HKG	6782000
HMD	0
HND	6485000
HRV	4473000
HTI	8222000
HUN	10043200
IDN	212107000
IND	1013662000
IOT	0
IRL	3775100
IRN	67702000
IRQ	23115000
ISL	279000
ISR	6217000
ITA	57680000
JAM	2583000
JOR	5083000
JPN	126714000
KAZ	16223000
KEN	30080000
KGZ	4699000
KHM	11168000
KIR	83000
KNA	38000
KOR	46844000
KWT	1972000
LAO	5433000
LBN	3282000
LBR	3154000
LBY	5605000
LCA	154000
LIE	32300
LKA	18827000
LSO	2153000
LTU	3698500
LUX	435700
LVA	2424200
MAC	473000
MAR	28351000
MCO	34000
MDA	4380000
MDG	15942000
MDV	286000
MEX	98881000
MHL	64000
MKD	2024000
MLI	11234000
MLT	380200
MMR	45611000
MNG	2662000
MNP	78000
MOZ	19680000
MRT	2670000
MSR	11000
MTQ	395000
MUS	1158000
MWI	10925000
MYS	22244000
MYT	149000
NAM	1726000
NCL	214000
NER	10730000
NFK	2000
NGA	111506000
NIC	5074000
NIU	2000
NLD	15864000
NOR	4478500
NPL	23930000
NRU	12000
NZL	3862000
OMN	2542000
PAK	156483000
PAN	2856000
PCN	50
PER	25662000
PHL	75967000
PLW	19000
PNG	4807000
POL	38653600
PRI	3869000
PRK	24039000
PRT	9997600
PRY	5496000
PSE	3101000
PYF	235000
QAT	599000
REU	699000
ROM	22455500
RUS	146934000
RWA	7733000
SAU	21607000
SDN	29490000
SEN	9481000
SGP	3567000
SGS	0
SHN	6000
SJM	3200
SLB	444000
SLE	4854000
SLV	6276000
SMR	27000
SOM	10097000
SPM	7000
STP	147000
SUR	417000
SVK	5398700
SVN	1987800
SWE	8861400
SWZ	1008000
SYC	77000
SYR	16125000
TCA	17000
TCD	7651000
TGO	4629000
THA	61399000
TJK	6188000
TKL	2000
TKM	4459000
TMP	885000
TON	99000
TTO	1295000
TUN	9586000
TUR	66591000
TUV	12000
TWN	22256000
TZA	33517000
UGA	21778000
UKR	50456000
UMI	0
URY	3337000
USA	278357000
UZB	24318000
VAT	1000
VCT	114000
VEN	24170000
VGB	21000
VIR	93000
VNM	79832000
VUT	190000
WLF	15000
WSM	180000
YEM	18112000
YUG	10640000
ZAF	40377000
ZMB	9169000
ZWE	11669000
